idx,h,w
0,28,77
1,0,119
2,25,71
3,21,52
4,29,60
5,29,59
6,34,92
7,17,106
8,40,125
9,26,127
10,18,1
11,14,88
12,1,49
13,35,56
14,0,93
15,0,10
16,46,111
17,18,20
18,27,108
19,20,69
20,43,79
21,13,24
22,16,110
23,46,34
24,38,29
25,13,13
26,33,47
27,22,113
28,15,85
29,17,72
30,31,6
31,14,41
32,20,102
33,4,54
34,32,4
35,8,75
36,45,14
37,24,68
38,11,12
39,7,82
40,43,101
41,13,19
42,11,32
43,45,17
44,18,2
45,20,124
46,42,9
47,30,104
48,8,120
49,25,53
50,25,76
51,32,7
52,19,74
53,40,86
54,24,97
55,47,30
56,47,63
57,27,66
58,3,80
59,4,90
60,10,73
61,1,55
62,5,27
63,44,46
64,19,3
65,25,50
66,30,15
67,15,78
68,12,8
69,30,42
70,9,57
71,23,107
72,42,22
73,17,105
74,11,84
75,44,5
76,22,94
77,33,67
78,39,61
79,16,38
80,6,114
81,42,16
82,35,91
83,6,62
84,34,103
85,37,48
86,3,87
87,12,70
88,21,51
89,41,23
90,29,11
91,23,96
92,36,31
93,27,33
94,1,64
95,9,26
96,22,39
97,44,81
98,5,45
99,41,25
100,2,123
101,36,28
102,39,100
103,2,122
104,38,118
105,41,116
106,23,36
107,40,99
108,38,115
109,6,98
110,31,18
111,10,37
112,45,83
113,32,89
114,15,117
115,36,121
116,13,0
117,26,21
118,8,40
119,28,35
120,7,58
121,3,112
122,47,43
123,10,95
124,35,44
125,5,126
126,33,109
127,37,65
